group_id,group_name
120363423802513620@g.us,"aki’s gp"
120363404281367225@g.us,"「巫筆 VIP」 聖保羅男女中學"
120363406545557624@g.us,"Tina group"
120363406498715679@g.us,"巫筆2026 伍華導師支援"
120363166330512727@g.us,"DE x mobut"
120363364028618704@g.us,"巫筆 x 樹仁 MOBUT"
120363178164666721@g.us,"翻協 FlipEdu Community 📣"
120363322596267549@g.us,"Office Dev Team"
120363419747559395@g.us,"「巫筆VIP」藍田循道衛理小學"
120363335056272412@g.us,"巫筆 Trial x 聖公會陳融中學"
120363404693009769@g.us,"Defining Education x HKT"
120363424504124981@g.us,"「巫筆VIP」 嗇色園主辦可立小學"
120363423111160764@g.us,"巫筆Trial X 東華三院盧幹庭紀念中學"
120363042474370735@g.us,"翻協x Members 25-28"
120363356703926090@g.us,"「巫筆VIP」 （中學）香港浸會大學附屬學校王錦輝中小學"
120363402053903215@g.us,"巫筆 Trial X 九龍華仁書院"
120363271345916597@g.us,"「巫筆VIP」九龍真光中學✍🏻"
120363373887140556@g.us,"巫筆 Trial x 中華基金中學"
120363402794442081@g.us,"「巫筆VIP」中華基督教青年會中學"
120363400181300639@g.us,"「巫筆 VIP」X 中華基金中學"
120363402304480404@g.us,"巫筆 Trial X 九龍塘學校（中學部）"
120363373629359097@g.us,"「巫筆VIP」大埔三育中學"
120363422903130597@g.us,"「巫筆VIP」 中華基督教會方潤華中學"
120363333620658336@g.us,"「巫筆VIP」中華基督教會全完中學"
120363399882497919@g.us,"巫筆 Trial X 中華基督教會何福堂書院"
120363419711765061@g.us,"巫筆 Trial X 中華基督教會方潤華中學"
120363420492859058@g.us,"「巫筆VIP」 中華基督教會何福堂書院"
120363417726834009@g.us,"巫筆 Trial X 中華基督教會扶輪中學"
120363420707007641@g.us,"巫筆 Trial X 中華基督教會協和書院"
120363334484102138@g.us,"巫筆 Trial x 中華基督教會基元中學"
120363420187489670@g.us,"「巫筆VIP」 X 中華基督教會桂華山中學"
120363334492752158@g.us,"「巫筆VIP」中華基督教會基協中學"
120363400422574993@g.us,"巫筆 Trial X 中華基督教會基朗中學"
120363419526522991@g.us,"「巫筆VIP」X 中華基督教會基智中學"
120363403514143531@g.us,"巫筆 Trial X 中華基督教會基道中學"
120363315451481850@g.us,"「巫筆VIP」 x 中華基督教會譚李麗芬紀念中學"
120363420202134994@g.us,"巫筆 Trial X 中華基督教會銘賢書院"
120363348138182149@g.us,"「巫筆VIP」 中華基督教會基新中學"
120363419493615378@g.us,"「巫筆VIP」 中華基督教會銘基書院"
120363402523409611@g.us,"「巫筆VIP」中華基督教會蒙民偉書院"
