group_id,group_name
120363419711765061@g.us,"巫筆 Trial X 中華基督教會方潤華中學"
120363295750149678@g.us,"巫筆 x 天水圍官中"
120363402479818900@g.us,"巫筆 Trial X 石籬天主教中學"
120363400453051550@g.us,"巫筆 Trial X 保良局朱敬文中學"
120363419438989173@g.us,"巫筆 Trial X 棉紡會中學"
120363422910269765@g.us,"巫筆 Trial X  聖公會基孝中學"
120363418449961710@g.us,"巫筆 Trial X 諸聖中學"
120363402854461381@g.us,"巫筆 Trial X 元朗公立中學校友會鄧英業小學"
120363400886761090@g.us,"巫筆 Trial X 東華三院姚達之紀念小學（元朗）"
120363401929793600@g.us,"巫筆 Trial X 聖馬可中學"
120363417975876896@g.us,"巫筆 Trial X 長沙灣天主教英文中學"
120363420537488212@g.us,"巫筆 澳門小學Trial X 澳門嘉諾撒聖心學校"
120363418104890701@g.us,"巫筆 Trial X 九龍塘天主教華德學校"
120363422084348609@g.us,"巫筆 Trial X 救世軍田家炳學校"
120363401740349507@g.us,"巫筆 Trial X 靈糧堂劉梅軒中學"
120363419738511970@g.us,"巫筆 Trial X 中華基督教會基元中學"
120363401952509180@g.us,"「巫筆 VIP」X 寶血會上智英文書院"
120363400050774361@g.us,"巫筆 英文Trial X 保良局馬錦明中學"
120363419695642794@g.us,"巫筆 Trial X 宣道會陳朱素華紀念中學"
120363321873497419@g.us,"2024-2025 「巫筆」夥伴教師"
120363332216534887@g.us,"「巫筆VIP」Tam Ka Yan"
120363399784475128@g.us,"巫筆 英文Trial X 沙田循道衞理中學"
120363400352731483@g.us,"巫筆 英文Trial X 宣道會鄭榮之中學"
120363400778863916@g.us,"巫筆 Trial X 獻主會聖馬善樂小學"
120363403545449390@g.us,"巫筆 英文Trial X 香港青年協會李兆基書院"
120363404377714107@g.us,"巫筆 英文Trial X 粉嶺禮賢會中學"
120363417356462310@g.us,"巫筆 英文Trial X 香港中文大學校友會聯會張煊昌中學"
120363418225390127@g.us,"巫筆 英文Trial X 循道中學"
120363418301311845@g.us,"巫筆 Trial X 南元朗官立小學"
120363418777242437@g.us,"巫筆 英文Trial X 地利亞修女紀念學校（協和二中）"
120363419618439805@g.us,"Unknown Group"
120363420289348651@g.us,"巫筆 英文Trial X 張振興伉儷書院"
120363420539379126@g.us,"巫筆 英文Trial X 荃灣聖芳濟中學"
120363422166654273@g.us,"Unknown Group"
