group_id,group_name
120363423802513620@g.us,"aki’s gp"
120363406545557624@g.us,"Tina group"
120363406498715679@g.us,"巫筆2026 伍華導師支援"
120363166330512727@g.us,"DE x mobut"
120363364028618704@g.us,"巫筆 x 樹仁 MOBUT"
120363178164666721@g.us,"翻協 FlipEdu Community 📣"
120363322596267549@g.us,"Office Dev Team"
120363404693009769@g.us,"Defining Education x HKT"
120363042474370735@g.us,"翻協x Members 25-28"
120363356703926090@g.us,"「巫筆VIP」 （中學）香港浸會大學附屬學校王錦輝中小學"
120363271345916597@g.us,"「巫筆VIP」九龍真光中學✍🏻"
120363373887140556@g.us,"巫筆 Trial x 中華基金中學"
120363400181300639@g.us,"「巫筆 VIP」X 中華基金中學"
120363422903130597@g.us,"「巫筆VIP」 中華基督教會方潤華中學"
120363333620658336@g.us,"「巫筆VIP」中華基督教會全完中學"
120363399882497919@g.us,"巫筆 Trial X 中華基督教會何福堂書院"
120363419711765061@g.us,"巫筆 Trial X 中華基督教會方潤華中學"
120363417726834009@g.us,"巫筆 Trial X 中華基督教會扶輪中學"
120363420707007641@g.us,"巫筆 Trial X 中華基督教會協和書院"
120363420187489670@g.us,"「巫筆VIP」 X 中華基督教會桂華山中學"
120363334492752158@g.us,"「巫筆VIP」中華基督教會基協中學"
120363400422574993@g.us,"巫筆 Trial X 中華基督教會基朗中學"
120363403514143531@g.us,"巫筆 Trial X 中華基督教會基道中學"
120363315451481850@g.us,"「巫筆VIP」 x 中華基督教會譚李麗芬紀念中學"
120363420202134994@g.us,"巫筆 Trial X 中華基督教會銘賢書院"
120363296608449906@g.us,"五旬節中學 28/6 補課支援📚"
120363420039004906@g.us,"巫筆 Trial X 仁濟醫院第二中學"
120363420611412199@g.us,"巫筆 Trial X 仁濟醫院王華湘中學"
120363421542074641@g.us,"「巫筆 VIP」 仁濟醫院董之英紀念中學"
120363295750149678@g.us,"巫筆 x 天水圍官中"
120363420274734528@g.us,"「巫筆VIP」 元朗商會中學"
120363402431312084@g.us,"「巫筆 VIP」 元朗公立中學校友會鄧兆棠中學"
120363402856778527@g.us,"「巫筆VIP」 天主教新民書院"
120363422064931743@g.us,"巫筆 Trial X 孔教學院大成何郭佩珍中學"
120363312498938006@g.us,"巫筆 x 伊利沙白中學舊生會湯國華中學"
120363317039050955@g.us,"「巫筆VIP」伊利沙伯中學舊生會中學"
120363402479818900@g.us,"巫筆 Trial X 石籬天主教中學"
120363403893186665@g.us,"「巫筆VIP」 佛教孔仙洲紀念中學"
120363313601149309@g.us,"「巫筆VIP」何明華會督銀禧中學 25-26"
120363402963618472@g.us,"巫筆 Trial X 佛教黃鳳翎中學"
120363418549973089@g.us,"「巫筆 VIP」 佛教黃允畋中學"
120363359228180978@g.us,"巫筆Trial X 庇理羅士女子中學"
120363420526178788@g.us,"「巫筆VIP」 協恩中學"
120363421797740809@g.us,"「巫筆VIP」 李求恩紀念中學"
120363402958958876@g.us,"「巫筆VIP」東莞工商總會劉百樂中學"
120363337863722763@g.us,"「巫筆VIP」東華三院甲寅年總理中學"
120363402590178131@g.us,"巫筆 x 東華三院甲寅年總理中學"
120363402691030532@g.us,"「巫筆VIP」東華三院辛亥年總理中學"
120363418102737738@g.us,"巫筆 Trial X 東華三院馮黃鳳亭中學"
120363385829398218@g.us,"巫筆 Trial x 東華三院張明添中學"
120363412477737445@g.us,"巫筆 Trial X 保良局姚連生中學"
120363344570464235@g.us,"巫筆 Trial x 保良局百周年李兆忠紀念中學"
120363400453051550@g.us,"巫筆 Trial X 保良局朱敬文中學"
120363419952547370@g.us,"「巫筆VIP」保良局胡忠中學"
120363426541595926@g.us,"巫筆 Trial X 保良局馬錦明夫人章馥仙中學"
120363404937051471@g.us,"巫筆 Trial X 保祿六世書院"
120363418476268758@g.us,"巫筆 Trial X 香港中文大學校友會聯會張煊昌中學"
120363418816240392@g.us,"「巫筆VIP」香港中文大學校友會聯會陳震夏中學"
120363338052498691@g.us,"「巫筆VIP」 香港布廠商會朱石麟中學"
120363402648995962@g.us,"巫筆 Trial X 香港航海學校"
120363276111363427@g.us,"「巫筆VIP」香港聖公會何明華會督中學"
120363276452225476@g.us,"「巫筆VIP」荃灣聖芳濟中學"
120363421030685360@g.us,"「巫筆VIP」培僑中學"
120363343126323998@g.us,"巫筆 Trial x 基督書院"
120363417901262625@g.us,"「巫筆VIP」基督書院"
120363420180107277@g.us,"巫筆 Trial X 基督教香港信義會心誠中學"
120363374550868917@g.us,"巫筆 Trial x 將軍澳香島中學"
120363401930171663@g.us,"「巫筆VIP」X 將軍澳官立中學"
120363421174069368@g.us,"巫筆 Trial X 梁式芝書院"
120363417078795454@g.us,"「巫筆VIP」 X 博愛醫院八十週年鄧英喜中學"
120363373503147857@g.us,"巫筆Trial X 博愛醫院陳楷紀念中學"
120363416633724449@g.us,"巫筆 Trial X 博愛醫院八十週年鄧英喜中學"
120363422336344196@g.us,"巫筆 Trial X 棉紡會中學"
120363401034058345@g.us,"「巫筆VIP」 港青基信書院"
